headline,publication_date,people_mentioned,places_mentioned,subjects,organizations,url,abstract,word_count
Israel’s North Is Burning,2024-06-12 05:00:07+00:00,,Israel; Rafah (Gaza Strip),Defense and Military Forces; Israel-Gaza War (2023- ); Peace Process,Hezbollah; Hamas,https://www.nytimes.com/2024/06/12/opinion/northern-israel-gaza-hezbollah.html,A cease-fire deal in Gaza might halt a war between Israel and Hezbollah.,1278
U.N. Report Accuses Both Israel and Palestinian Groups of War Crimes,2024-06-12 07:01:35+00:00,,Israel,"War Crimes, Genocide and Crimes Against Humanity; Israel-Gaza War (2023- )",United Nations; Hamas,https://www.nytimes.com/2024/06/12/world/middleeast/un-report-israel-hamas-war-crimes.html,A commission produced the United Nations’ most detailed examination yet of the Oct. 7 attacks and the subsequent war in Gaza.,849
A Palestinian Professor Spoke Out Against the Gaza War. Israel Detained Her.,2024-06-12 09:52:33+00:00,"Shalhoub-Kevorkian, Nadera",Jerusalem (Israel); Israel; Gaza Strip,Israel-Gaza War (2023- ); Colleges and Universities; Palestinians; Freedom of Speech and Expression; ACADEMIC FREEDOM,Hebrew University,https://www.nytimes.com/2024/06/12/world/middleeast/palestinian-professor-israel-gaza-war.html,The investigation of Prof. Nadera Shalhoub-Kevorkian of Hebrew University has prompted a debate inside Israel about the repression of free speech and academic freedoms since the war began.,1471
Hezbollah Launches Rocket Barrage After Israeli Strike Kills a Commander,2024-06-12 11:02:36+00:00,,Israel; Lebanon,Israel-Gaza War (2023- ); Missiles and Missile Defense Systems,Hamas; Hezbollah,https://www.nytimes.com/2024/06/12/world/middleeast/hezbollah-rockets-israel-strike.html,"Around 215 rockets were launched from Lebanon into northern Israel in an apparent response to the strike, Israeli army radio said. There were no immediate reports of casualties.",707
"Hamas Made Unacceptable Changes to Cease-Fire Plan, Blinken Says",2024-06-12 14:37:25+00:00,"Blinken, Antony J",,Israel-Gaza War (2023- ),Hamas,https://www.nytimes.com/video/world/middleeast/100000009517335/blinken-gaza-israel-hamas-cease-fire.html,"Secretary of State Antony J. Blinken said Hamas proposed some changes that were unworkable in its response to a U.S.-backed cease-fire plan, but that the U.S. would keep trying to strike a deal between Israel and Hamas.",0
Vandals Splash Graffiti on Home of Jewish Director of Brooklyn Museum,2024-06-12 18:18:06+00:00,"Adams, Eric L; Pasternak, Anne; Trueblood, Kimberly Panicek",,"Israel-Gaza War (2023- ); Museums; Demonstrations, Protests and Riots; Vandalism; Muslim Americans; Jews and Judaism; Anti-Semitism",Brooklyn Museum,https://www.nytimes.com/2024/06/12/nyregion/anti-zionist-graffiti-jewish-museum-officials.html,"The homes of the director and three other museum officials were vandalized with red paint, and a banner at the director’s building called her a “white supremacist” Zionist.",838
"As the U.A.W. Scores Wins in Red States, Tensions Emerge Over Gaza Protests",2024-06-12 19:23:28+00:00,"Biden, Joseph R Jr",LORDSTOWN (OHIO),Israel-Gaza War (2023- ); Pro-Palestinian Campus Protests (2023- ); Electric and Hybrid Vehicles; Organized Labor; United States Politics and Government,United Automobile Workers,https://www.nytimes.com/2024/06/12/us/politics/uaw-gaza-biden.html,"A tentative new contract at an Ohio battery maker on Monday was big for President Biden’s E.V. transition, but for some, the victory was upstaged by the U.A.W.’s activism on college campuses.",1477
Accounts of Life in Hamas Captivity Emerge in Israel,2024-06-12 20:31:18+00:00,,Israel; Gaza Strip,Israel-Gaza War (2023- ); Kidnapping and Hostages,Hamas,https://www.nytimes.com/2024/06/12/world/middleeast/israel-hostages-gaza-rescue.html,The four hostages rescued in Gaza were described as malnourished and traumatized.,733
Blinken Calls Hamas Changes to Cease-Fire Proposal Unworkable,2024-06-12 22:01:12+00:00,"Blinken, Antony J",Gaza Strip; Doha (Qatar); Israel; Lebanon,Israel-Gaza War (2023- ); United States International Relations,,https://www.nytimes.com/2024/06/12/world/middleeast/israel-hamas-gaza-cease-fire-blinken.html,"While the U.S. secretary of state kept up the pressure for a halt to the hostilities in Gaza, Israel and Hamas still appeared to be far from reaching a deal.",918
Houthis Attack Merchant Ship in Red Sea Off Yemen’s Coast,2024-06-12 23:09:23+00:00,,Yemen,Israel-Gaza War (2023- ),Houthis,https://www.nytimes.com/2024/06/12/world/middleeast/yemen-houthis-red-sea-ship.html,The Iran-backed militia has launched dozens of attacks on shipping vessels in the vital sea route in support of Palestinians in Gaza.,320
The U.N. Report on Israeli and Palestinian War Crimes: What We Know,2024-06-13 09:05:17+00:00,,Israel; Gaza Strip,"Israel-Gaza War (2023- ); Defense and Military Forces; Palestinians; Civilian Casualties; Refugees and Displaced Persons; Terrorism; Sex Crimes; Kidnapping and Hostages; War Crimes, Genocide and Crimes Against Humanity; Torture",Hamas; United Nations,https://www.nytimes.com/2024/06/13/world/middleeast/gaza-war-crimes-israel-hamas.html,The findings cite acts such as sexual violence and the deliberate killing or abducting of civilians by Hamas. They also accuse Israel of collective punishment and crimes against humanity in Gaza.,1074
Palestinians Report Heavy Bombardments in the Rafah Area,2024-06-13 15:08:23+00:00,,Rafah (Gaza Strip),Israel-Gaza War (2023- ); Palestinians; Refugees and Displaced Persons,Hamas,https://www.nytimes.com/2024/06/13/world/middleeast/israel-rafah-airstrikes.html,"Israel’s military said its forces were pressing on with operations in Rafah, where they were engaged in “face-to-face encounters” with Hamas fighters.",392
