Date,Trends
04-04-2023,"['Trump', 'Barbie', 'Bragg', 'Chelsea', 'PEOPLE PT']"
05-04-2023,"['Trump', 'Barbie', 'Biden', 'America', 'Madrid']"
06-04-2023,"['Tennessee', 'Clarence Thomas', 'Mario', 'Supreme Court', '#SUGAxNBA']"
07-04-2023,"['Tennessee', '#SUGA', '#AgustD', '#People_Pt2', 'jungkook']"
08-04-2023,"['Tennessee', 'Easter', 'taylor', 'Good Friday', 'Happy Easter']"
09-04-2023,"['Happy Easter', 'taylor', '#UFC287', 'Adesanya', 'c1y  VBA']"
10-04-2023,"['Easter', 'Happy Easter', '#LegendofSRICHANDxMileApo', 'Louisville', 'c1y VBA']"
11-04-2023,"['#BillboardCorrupt', '#BillboardRacist', 'RESPECT JIMIN', 'RESPECT BTS', 'Bayern']"
12-04-2023,"['Chelsea', 'Lakers', 'Napoli', 'Heat', '#RMACHE']"
13-04-2023,"['#BOYSPLANET', 'Zelda', 'Sevilla', '#TearsoftheKingdom', '#MUFC']"
14-04-2023,"['Ukraine', 'Coachella', 'Nicki', 'Zelda', 'Princess Diana']"
15-04-2023,"['Coachella', 'Chelsea', 'Warriors', 'Brighton', 'Villa']"
16-04-2023,"['BLACKPINK', 'Lisa', 'jennie', 'jisoo', 'Jungkook']"
17-04-2023,"['hobi', 'Disney', 'frank ocean', '#LoveIsBlindLIVE', 'Ralph Yarl']"
18-04-2023,"['hobi', 'Chelsea', 'Fox News', 'Kings', 'Warriors']"
19-04-2023,"['moonbin', 'Astro', '#Haegeum', '#Buildiscomingback', 'Bayern']"
20-04-2023,"['SpaceX', 'Elon', 'Twitter Blue', 'Sevilla', 'keita']"
21-04-2023,"['Eid Mubarak', '#SUGA', '#Haegeum', 'Arsenal', '#AgustD_DDAY']"
22-04-2023,"['Garcia', '#EarthDay', 'Earth Day', '#DavisGarcia', '#LuxiemOutfitRelay']"
23-04-2023,"['blackpink', 'jennie', 'Garcia', 'Ryan', 'jisoo']"
24-04-2023,"['Tucker', 'SEVENTEEN', 'jungkook', 'Fox News', 'Don Lemon']"
25-04-2023,"['Tucker', '#SHOONGxTAEYANGxLISA', 'Joe Biden', 'Lakers', 'Lebron']"
26-04-2023,"['Arsenal', '#TaoKaeNoiGlobalFunFairDay', 'Disney', 'Haaland', '#AgustD_SUGA_Tour']"
27-04-2023,"['#JiminXTiffanyAndCo', 'Jerry Springer', 'Bucks', '#NFLDraft', 'Giannis']"
28-04-2023,"['#NFLDraft', 'Eagles', 'seungkwan', '#AzerbaijanGP', 'Leclerc']"
29-04-2023,"['#NFLDraft', 'Eagles', 'Swift', 'Yuki', 'Lions']"
30-04-2023,"['Warriors', 'Steph', 'Kings', '#AzerbaijanGP', 'Liverpool']"
01-05-2023,"['#MetGala', 'May Day', 'Steph', 'Rihanna', 'New Month']"
02-05-2023,"['#MetGala', 'Chelsea', 'Rihanna', '#WelcomeToMYWorld', 'Harden']"
03-05-2023,"['#NoDynamicPricing', 'Lakers', 'Putin', 'Kremlin', 'jongin']"
04-05-2023,"['jungkook', 'Star Wars', '#MayThe4thBeWithYou', 'Napoli', 'Thomas']"
05-05-2023,"['Thomas', 'namjoon', 'Star Wars', '#MayThe4thBeWithYou', 'Lakers']"
06-05-2023,"['#Coronation', 'Charles', 'taylor', 'Queen', 'Diana']"
07-05-2023,"['Texas', 'Chan', 'Guns', '#WWEBacklash', 'Allen']"
08-05-2023,"['karina', 'New Week', 'Jokic', 'Everton', 'Nashville']"
09-05-2023,"['Pakistan', 'Madrid', 'Imran Khan', '#ImranKhan', 'Real Madrid']"
10-05-2023,"['Trump', 'Pakistan', 'Lucas', 'Beyoncé', 'George Santos']"
11-05-2023,"['Trump', 'President Trump', 'Zelda', '#Eurovision', 'Twitter CEO']"
12-05-2023,"['Zelda', '#TearsOfTheKingdom', 'Elon', 'Tatum', 'Suns']"
13-05-2023,"['Eurovision', '#Eurovision', '#Eurovision2023', 'Lakers', 'Warriors']"
14-05-2023,"[""Mother's Day"", 'KCON', 'Arsenal', 'Moms', 'Mothers Day']"
15-05-2023,"[""Mother's Day"", 'Durham', 'The FBI', 'SUGA', 'Celtics']"
16-05-2023,"['Durham', '#KAZZAWARDS2023', '#主的祈祷', '#ฟรีนเบคxKAZZAWARDS', 'Charlotte']"
17-05-2023,"['Madrid', 'jennie', 'Chan', 'Lakers', 'Jokic']"
18-05-2023,"['Disney', '#SquidGrow', '#Angel_Pt1', 'Lakers', 'Lebron']"
19-05-2023,"['Disney', 'Lakers', 'Lebron', '#StrawberRickyDay', 'Jim Brown']"
20-05-2023,"['#主的祈祷', 'Arsenal', 'c1y VBA', 'Lakers', 'Heat']"
21-05-2023,"['#SRICHANDBetterThanEverEvent', 'Vini', 'Lakers', 'La Liga', '#主的祈祷']"
22-05-2023,"['#DARKBLOOD', '#ENHYPEN', '#BiteMe', '#JENNIEatCANNES', 'Lebron']"
23-05-2023,"['Twitter Spaces', 'Lebron', 'Hyunjin', 'Target', 'Lakers']"
24-05-2023,"['Tina Turner', 'jungkook', 'DeSantis', 'Target', 'Twitter Spaces']"
25-05-2023,"['DeSantis', '$NVDA', 'Barbie', 'Chelsea', 'SHINee']"
26-05-2023,"['lana', ""You're Losing Me"", 'Memorial Day', 'The Wall', 'Durk']"
27-05-2023,"['Target', 'Dortmund', 'DeSantis', 'Barbie', '#MonacoGP']"
28-05-2023,"['Erdogan', '$REAPER', '#MonacoGP', 'Celtics', 'Heat']"
