Subject_ID,Affiliation,Followers,Tweet_ID,Affiliation_Contrast,After_Dates,After_Corpus,After_Likes,After_Retweets,After_Replies,After_Views,prop_Israeli,prop_Warm,prop_Competence,prop_Incompetence,prop_Cold,prop_Jewish,prop_Muslim,prop_Arabic,prop_IDF,prop_Hamas,count_Israeli,count_Warm,count_Competence,count_Incompetence,count_Cold,count_Jewish,count_Muslim,count_Arabic,count_IDF,count_Hamas,words_Israeli,words_Warm,words_Competence,words_Incompetence,words_Cold,words_Jewish,words_Muslim,words_Arabic,words_IDF,words_Hamas,total_words
78,Republican Party,570400.0,827,-0.5,"August 20, 2024 11:24 PM",So now we’re all going to pretend that Dave Smith is THE redpilled guy and not a libertarian Jew who is willing to talk about neocons and deflect accusations of antisemitism?  I like him but let’s be honest.,3825,421,216,208082,0.0,0.025,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0,1,0,0,0,1,0,0,0,0,[],['honest'],[],[],[],['jew'],[],[],[],[],40
95,Republican Party,12400000.0,822,-0.5,"November 30, 2023 04:14 PM",Shocked that even MSDNC realized that it probably wasn’t a great idea to have Pro Hamas propagandists on air for hours a week.,1799,413,260,123779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0,0,0,0,0,0,0,0,0,1,[],[],[],[],[],[],[],[],[],['hamas'],24
17,Democratic Party,1400000.0,412,0.5,"March 01, 2024 12:25 AM",Sen. Raphael Warnock is now calling for a ceasefire in Gaza.,2740,327,97,158065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,[],[],[],[],[],[],[],[],[],[],11
17,Democratic Party,1400000.0,622,0.5,"March 21, 2024 09:50 AM","Secretary of State Antony Blinken says the U.S. has submitted a draft resolution to the UN Security Council calling ""for an immediate ceasefire"" in Gaza — ""tied to the release"" of hostages held by Hamas.",1773,496,55,111688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02857142857142857,0,0,0,0,0,0,0,0,0,1,[],[],[],[],[],[],[],[],[],['hamas'],35
39,Democratic Party,1000000.0,203,0.5,"September 05, 2024 10:20 PM",Rudy says we should have sent Navy SEALs and Army Rangers into Gaza to rescue the hostages.,5784,1435,704,411687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,[],[],[],[],[],[],[],[],[],[],17
41,Republican Party,7000000.0,929,-0.5,"July 23, 2024 12:29 PM","Remember, the obstacle to peace in the Middle East is very simple: Palestinian rejection of Israel, and heartfelt support for murderous terrorism. The supposedly ""moderate"" Palestinian Authority has now formed a unity government with HAMAS.",21490,2973,8702,2226858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05714285714285714,0.0,0.02857142857142857,0,0,0,0,0,0,0,2,0,1,[],[],[],[],[],[],[],"['palestinian', 'palestinian']",[],['hamas'],35
95,Republican Party,12400000.0,925,-0.5,"November 09, 2023 03:18 PM",Pretty amazing that the entire establishment media had people embedded with Hamas while they did the terrorist attack on 10/7. Are we still pretending they’re not the enemy of the people? Truly sick people!,36166,13457,1646,1259341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027777777777777776,0,0,0,0,0,0,0,0,0,1,[],[],[],[],[],[],[],[],[],['hamas'],36
17,Democratic Party,1400000.0,806,0.5,"April 03, 2024 12:05 AM","President Biden: ""I am outraged and heartbroken by the deaths of seven humanitarian workers from World Central Kitchen, including one American, in Gaza yesterday. They were providing food to hungry civilians in the middle of a war. They were brave and selfless. Their deaths are a",2749,653,141,141160,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,[],[],[],[],[],[],[],[],[],[],46
41,Republican Party,7000000.0,793,-0.5,"August 20, 2024 11:41 PM",Politico : Senior US officials say the ceasefire deal is on the verge of collapse.,14118,2052,1983,1732459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,[],[],[],[],[],[],[],[],[],[],14
93,Republican Party,328900.0,595,-0.5,"November 03, 2023 03:56 PM","Philadelphia, PA - four masked men walked into Cafe Ole (Huntingdon) and proceeded to tear off the Israeli flag, while yelling “Free Palestine” as they left.   Police are investigating.",2489,1393,215,83213,0.03571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,['israeli'],[],[],[],[],[],[],[],[],[],28
